mean_x_a,mean_y_a,mean_z_a,std_x_a,std_y_a,std_z_a,max_x_a,max_y_a,max_z_a,min_x_a,min_y_a,min_z_a,mean_x_g,mean_y_g,mean_z_g,std_x_g,std_y_g,std_z_g,max_x_g,max_y_g,max_z_g,min_x_g,min_y_g,min_z_g,model,accion
-1.5523042396,-0.0640113656,9.8520602333,0.1812736061,0.2437039144,0.2700643239,-0.39050293,1.6902008,10.804932,-2.904007,-1.2848206,8.640976,-0.0011725764,0.0016017088,1.97253958762E-05,0.0194267437,0.0352520836,0.0697743821,0.22697449,0.41738892,0.598114,-0.24424744,-0.30999756,-1.0126038,nexus4,stand
-1.8546647242,-0.3066827157,9.2060770444,2.0032154504,1.249822008,1.7740141508,2.2601264,4.6351743,18.377892,-10.793061,-6.579266,0.48841715,0.0148892893,-0.0150402738,-0.0333936256,0.4961636814,0.4011987601,0.4508327384,2.5787675,1.7889189,3.094338,-1.5357152,-2.2061398,-1.9709567,s3,bike
-1.5924737908,0.0827834314,9.3206773057,1.7692883478,1.3225295861,2.6169144458,3.5577838,6.847417,19.066225,-13.858836,-6.1758432,2.6719291,-0.0106645207,-0.0117929479,-0.0213124218,0.2560678149,0.3302353955,0.3385279088,1.0778999,1.7498186,1.8559494,-1.6727211,-1.5736656,-1.7832437,s3mini,walk
0.2589496603,-0.368603635,9.602723031,0.1074398708,0.1072170658,0.1247384739,0.6895301,0.90021986,10.01734,-3.323152,-0.8810662,8.781932,0.0042513007,-0.0036998095,0.009861357,0.0116815412,0.0181068467,0.025798707,0.20525073,0.13836098,0.24556783,-0.17745635,-0.46120325,-0.3594942,s3,sit
-2.2195233086,-0.5839475194,9.1215444353,1.2157492364,1.5679454423,1.111539798,2.0147207,2.9628246,13.342886,-5.884948,-4.4077253,5.4887075,0.0341142956,-0.0285762967,-0.2173902118,0.6404060127,0.5944769515,0.3736228126,2.4973707,2.0799222,2.08407,-1.860097,-2.4285686,-2.176538,s3mini,bike
-3.7862716932,0.0509384642,9.1610055351,2.1697384223,1.9273125495,2.5102736492,2.8648224,9.17334,24.567047,-16.818466,-11.066956,1.8831024,0.1616235361,-0.0377502991,-0.3985114344,0.7582106659,0.5990585145,0.7597714054,2.1247406,2.8647156,2.4052124,-1.9394379,-1.9845276,-3.9532776,nexus4,stairsup
-1.1254035109,-0.053916189,9.5771829914,1.7783920251,1.4335110793,2.7259873667,4.453215,6.799533,19.191921,-14.346057,-6.0238113,2.4995465,0.0096467645,-0.0004929359,-0.0202985356,0.2798656082,0.3697300153,0.3700583508,1.3002267,2.0344868,1.5766432,-2.1297817,-1.7986927,-1.9474384,s3,walk
5.8595073922,-0.833536361,7.328378338,1.4908327797,0.3874748276,0.1621852933,6.8522053,1.5921441,7.949947,-6.2404866,-2.8526914,6.373365,-0.0117428309,-0.0103104659,-0.0067409551,0.0253227082,0.0236115506,0.0396787051,0.28350377,0.1954273,1.6593022,-0.57432693,-1.4626551,-1.4011723,s3mini,stand
3.957120059,-0.3031956347,7.5328649633,4.9456839401,1.7681836341,2.8603205512,17.402254,8.1079645,17.694347,-16.324863,-14.754268,2.0386627,-0.0174318615,-0.0077571087,-0.0055225488,0.4725908584,0.672128787,0.5232530483,2.586179,2.7225635,2.8167393,-2.0987086,-2.6747434,-3.0756013,s3mini,walk
-3.1141045116,1.0499710574,9.4394313011,1.9186425185,1.6411916786,2.1542801397,1.8638763,7.345215,17.517578,-12.540939,-5.8365326,4.5205536,-0.0115702263,0.0019541642,0.0205050515,0.463866459,0.5223459382,0.532786712,1.313324,1.855957,3.2252045,-1.4253235,-2.1355896,-2.218979,nexus4,walk
-2.8930748416,0.36593392,9.6240698866,2.724381485,2.0921349195,3.6205804753,11.972122,14.869568,32.911438,-24.86055,-12.973633,1.5641327,-0.1436099552,-0.0060752994,0.4354330971,0.5429555166,0.7357369152,0.8808165487,2.7570648,4.9229736,3.8631897,-3.4839325,-3.1017761,-2.517044,nexus4,stairsdown
-3.2246211777,0.9029747744,9.3903232989,1.4694392504,1.219557914,1.7751173197,1.11763,7.597534,16.864166,-9.811844,-5.146225,4.3979645,0.0873058342,-0.0511333379,-0.2367424273,0.3859991101,0.3704690762,0.6505956636,1.6177368,1.8751831,2.8556366,-1.4285278,-1.8849182,-2.5832062,nexus4,stairsdown
-5.6977509766,0.2528365752,8.2500858089,2.5445798546,1.984093757,3.2898217794,1.3473358,11.105011,25.403748,-19.610641,-9.929138,0.78952026,0.2547455279,-0.057434278,-0.3654035705,0.5915715835,0.8739706726,0.8276873627,2.6680603,5.0266724,2.8820648,-2.1790466,-3.071228,-3.4808502,nexus4,stairsdown
-1.913227973,1.5905690511,9.6414966804,0.1300439184,0.1952578216,0.2099891143,-0.6571045,3.2790985,10.577606,-2.8910828,-0.54452515,8.694534,0.0002246339,-0.0003394926,-0.000460081,0.0151924575,0.0319055648,0.0517782972,0.80996704,0.47795105,0.5611725,-0.17875671,-0.4513092,-0.56159973,nexus4,stand
-4.8167696074,1.2536673934,8.2110160104,0.3196389995,0.4822087463,0.2535951687,-3.0071173,3.4093432,9.337387,-6.435614,0.1436521,6.885724,0.0050460462,-0.0068058163,0.0134971645,0.0620990481,0.0488899162,0.0945073975,0.4147775,0.4196644,0.7324274,-0.41233405,-0.3979787,-0.5867361,s3,stand
-6.176748194,0.2300012364,7.6763475777,2.3021676281,1.5349103482,2.4182857009,11.213974,20.808151,39.31801,-38.812073,-9.264267,-2.2908783,-0.2502420956,-0.0119080671,0.304009756,0.485865187,0.6711300128,0.603985304,3.5605774,9.267212,2.630478,-2.2575073,-3.078003,-3.2746124,nexus4,stairsup
-2.5873293383,1.9361296225,8.9586830095,0.1403353202,0.1211741643,0.0634014055,-1.0151415,3.4476504,10.06283,-3.809175,0.073023155,7.9367785,-0.0106183512,-0.0089151782,-0.0079743607,0.0306414408,0.0412677197,0.0500539469,1.6961432,1.7005347,2.0296626,-1.8420427,-1.7017546,-1.5985514,s3mini,stand
-3.4040494917,0.890125838,8.5990011676,2.6305767439,1.550097726,2.5712567325,10.103531,12.308591,19.612701,-16.788143,-7.7213006,1.5837644,-0.0290878843,-0.0071316976,0.0133864115,0.4831327734,0.4513784169,0.6083717963,2.2885244,2.7428136,2.9784975,-2.869195,-2.3495193,-2.8423572,s3mini,null
7.7429329506,0.092982304,5.6633144482,0.1791766885,0.1785097659,0.2165900365,9.299079,1.5897499,7.5465236,6.090849,-0.9576807,4.0797195,0.0093470262,-0.0117531899,0.0108005726,0.0354972565,0.0439791272,0.0446868969,0.19028452,0.51251596,0.37720928,-0.63041294,-0.40744713,-0.6585127,s3,sit
-1.5787428211,-0.5983841622,9.6806646164,1.9002904365,1.173966598,1.7015431342,4.087143,5.949875,22.691315,-11.717331,-6.822754,-1.9276733,0.0042565983,-0.0066676456,-0.0542349456,0.4871657766,0.3945346655,0.4323188521,3.1568146,1.8670807,2.195465,-2.1025848,-2.8972473,-1.9835663,nexus4,bike
-4.7567883759,0.3418152417,8.6915555674,1.0779774637,0.8738444202,0.8001022081,0.5104675,5.074341,15.517868,-9.72377,-2.619461,4.9180756,0.0836085592,-0.0245181432,-0.1626678367,0.2091106404,0.291297184,0.312277205,0.8003235,1.0015106,1.6680908,-0.798645,-1.2573853,-1.3098145,nexus4,bike
-1.7140508364,-0.2362550961,9.3851819232,1.1136615139,1.4974280502,1.392859547,2.231396,5.4779334,15.006856,-5.899313,-3.6104562,3.7924154,0.0302970748,-0.0419768544,-0.2103946345,0.7939586993,0.3621872418,0.3028632479,2.406809,1.606881,0.90224797,-2.8567114,-1.5161675,-1.2559389,s3,bike
-2.6584430231,-1.1454882445,9.5224475388,0.2662598793,0.2658763037,0.2276519627,0.7736664,1.9048767,13.92897,-8.243179,-3.2795715,5.902359,-0.0016697651,-4.42127725539E-06,0.0028044548,0.0738633909,0.0618669982,0.2603007053,0.31985474,1.2328491,1.4395294,-0.93618774,-1.9789734,-1.2563934,nexus4,stand
-0.7464275542,-0.1176513804,9.6192172664,0.1938544067,0.194476443,0.1333742876,-0.10534488,1.3982137,10.505757,-1.8004397,-1.5993267,8.858546,0.0037763139,0.00247545,-0.00610794,0.0153535283,0.0299736369,0.0783573599,0.24465153,0.32650748,1.070236,-0.19608775,-0.1994475,-0.48991394,s3,stand
-5.5926400712,0.4405194388,8.3129241565,2.0874283753,2.1003094666,2.6088885298,-0.22132874,8.830566,18.893433,-15.676056,-6.8453674,3.2817688,-0.0149324849,0.0091372293,0.0205140284,0.5757747078,0.8234359738,0.562231913,1.7868652,2.7943115,3.1790009,-2.6383362,-2.4944458,-2.0688019,nexus4,walk
-4.1200947496,0.1879216304,8.5868008241,2.1828784607,1.4189859393,2.362798504,1.4209588,5.2205567,15.709555,-15.028404,-5.398925,3.2585084,-0.009385646,-0.0118505615,-0.0232155736,0.2408580636,0.274011158,0.3987821188,1.3243189,1.019589,2.096025,-0.98274803,-1.6641818,-2.679135,s3mini,walk
-2.3445080734,-0.0939766882,9.1563571274,2.1214805554,1.6819628884,2.1501902823,5.4683566,10.716447,19.460072,-16.912642,-10.429143,-0.24899697,0.0148754007,-0.0099202201,-0.0211006445,0.3582745613,0.4301245789,0.4896565083,2.1245892,7.7445498,2.6456573,-2.2354615,-3.1844406,-2.7375927,s3,null
-5.7727099385,1.0674231041,7.5689635406,2.1646087029,2.1146319694,2.5179744389,0.44771573,8.692149,15.308526,-12.955026,-6.4463882,3.0573955,-0.0229620315,-0.0019283115,0.0048804491,0.5123221986,0.7167547795,0.4917772256,2.1684868,2.8984723,2.7991729,-2.444183,-2.8984723,-2.3807485,s3mini,walk
-4.4634439994,0.2430641079,8.4724664058,2.2405809834,1.9391254485,2.9195664206,3.940856,8.825027,19.612701,-15.545551,-7.7560163,0.4249708,-0.2228422157,-0.0342894251,0.4503586104,0.3666124543,0.7330631336,0.7681167291,1.158901,6.0582466,4.878363,-1.9054772,-3.5413575,-2.4095383,s3mini,stairsdown
-0.6971337935,-0.2098980115,9.8975902051,1.2217991933,0.8738027744,1.1636657691,7.151703,4.519272,26.004593,-10.484467,-3.9924927,-0.035476685,0.0013149613,-0.0014586713,-0.0075764821,0.2543141616,0.2307728047,0.220832524,1.2329559,2.216095,1.1457825,-1.056015,-1.6163025,-1.1933899,nexus4,bike
-1.9379699261,0.8280370733,9.0133758908,1.0652057281,2.0316357133,1.0991439887,4.807557,6.9228344,19.612701,-11.449073,-4.2413282,1.5753847,-0.0082355698,-0.00661707,-0.0187204235,0.8803865542,0.3340269554,0.3286076477,2.4998105,2.1155434,1.1667084,-3.6016202,-1.5848886,-1.7832437,s3mini,bike
-1.465423414,0.8290120144,9.2338797579,1.0879261843,1.2413995147,1.3434528187,3.0933087,6.579266,18.971655,-6.799533,-4.855441,0.9864111,0.0173008919,-0.0186127277,0.0103935468,0.481813822,0.4125366278,0.2222421033,1.5271631,1.924531,0.93279123,-1.3460416,-1.9260582,-1.3142766,s3,bike
2.7346326663,-0.2470714295,7.8894415275,4.5716466894,1.374817499,1.9061002169,17.92898,19.612701,19.612701,-19.6133,-19.6133,-0.34715924,0.0044920883,-0.0137413786,0.0180906155,0.3355271522,0.3672040457,0.3793072641,2.237289,4.927403,2.2982836,-2.072847,-6.6550193,-1.8722961,s3mini,null
-3.107406883,0.0377365755,8.9067418832,1.2085182734,1.288104959,1.5456670116,0.41180268,3.5098996,14.933833,-7.3083005,-5.321113,5.127183,0.078571419,-0.0258267748,-0.3795474612,0.2584645993,0.1718887904,0.5091920488,1.181835,1.5180383,1.5309693,-0.96859723,-1.6510069,-3.7189744,s3mini,stairsup
-2.6408138255,0.5357941895,9.6664227197,2.4064984557,1.9369739777,3.2535924198,4.229965,10.827698,23.250702,-18.756088,-11.057434,1.3498993,-0.002443376,-0.0003167515,0.0057712483,0.5548594733,0.4982230551,0.491359056,2.179947,2.015564,2.4924164,-2.4364471,-1.8275146,-2.3019714,nexus4,walk
-3.5568978547,-0.0934488815,8.9689709989,2.0579037637,1.5368906623,2.4889208761,1.8483237,5.1906295,16.634912,-13.081918,-6.167464,2.9975405,0.0145896055,-0.0063672866,-0.0071000057,0.2691797244,0.3116880689,0.4337337715,1.3930782,1.0604621,1.8668042,-1.1191051,-1.2660183,-2.946814,s3,walk
4.158656467,-0.1032261917,7.9512451837,3.9764450278,1.514575154,2.2765455725,17.729063,6.3985043,15.9262295,-14.348451,-6.841431,2.6001031,-0.0043986491,-0.0043142174,-0.0019207658,0.3022514088,0.4328709132,0.4694950562,3.3761835,2.373917,5.1084356,-1.9098688,-1.7105379,-2.4117339,s3mini,walk
5.7123809532,-0.6387182649,7.3635215546,3.3636725115,1.6070046411,2.8156226236,18.387468,7.1071877,19.612701,-14.900314,-19.6133,0.29448682,-0.2000610515,0.0402813572,-0.2763297286,0.4991068592,0.4705817974,0.6486922367,2.563245,2.142869,4.1625285,-2.986305,-4.4877524,-3.1219573,s3mini,stairsdown
-1.7395928401,0.8111349331,9.3894476277,2.9343380717,1.3579563349,1.3999426336,10.872391,19.880997,34.00859,-29.445313,-11.599411,-2.7098236,-0.0138589659,0.0003335617,0.0260947665,0.3333094046,0.398752758,0.4589327215,1.5653992,6.1700745,2.2414703,-2.0581665,-5.0803833,-2.943161,nexus4,null
-1.8387219534,0.4359487866,9.2613394457,1.5782915257,1.6329978979,3.3953423498,2.1643584,8.896853,19.488802,-10.783484,-5.6215854,-1.8004397,-0.0691530851,-0.0169693893,0.4399072674,0.2672595687,0.4565934431,0.7832699514,1.2571607,3.0552425,4.0036106,-1.1808025,-1.7220291,-3.2592716,s3,stairsdown
-1.5666843455,-0.547256435,9.8274802557,1.1734535547,1.4892620908,1.4687180014,2.6289978,6.177643,17.093872,-7.1672516,-3.5402222,2.1770782,0.0317492239,-0.0393608005,-0.2212920381,0.8072949842,0.3819700271,0.3107130747,2.4337769,1.7160339,1.0387726,-2.8790283,-1.5716248,-1.2897186,nexus4,bike
-6.4095967688,1.1798494065,7.3831356647,2.671883344,1.7028366248,2.3046113704,-0.9094238,10.168335,16.340485,-17.31018,-5.7027893,2.342514,-0.284392123,0.0104097648,0.3107890455,0.7034022439,0.5244838669,0.6825613209,2.3117065,1.9553375,3.4974976,-2.9978943,-1.9881439,-3.1256104,nexus4,stairsup
9.1548551771,0.9736725268,3.5432874516,0.2496570895,0.3300831939,0.5050786153,10.419566,4.596867,9.14585,6.6750345,-2.0015526,-0.30645782,0.006155573,-0.006895133,0.0140283239,0.0231644865,0.0655953456,0.0493810489,0.301462,1.5632042,0.9300423,-0.39675698,-0.945314,-0.72509706,s3,sit
1.3068828126,-0.1762570027,9.3352031648,0.9350883321,1.8079376389,1.6615072662,6.0716953,5.813122,18.23424,-3.265691,-7.967903,2.0494366,0.0081687546,-0.00094389,-0.0025372128,0.8872796026,0.4958061623,0.2839463891,2.303573,2.1099286,1.59558,-2.4123068,-2.4996605,-1.529912,s3,bike
-4.6947400324,-0.4549372529,8.4031515998,2.2544765031,1.7460234439,2.4297184834,2.135628,6.167464,19.009962,-15.006856,-10.237606,1.9249382,0.2135626514,-0.0208990308,-0.4214073444,0.595767254,0.5215305086,0.6982452248,1.752267,2.1389446,1.8374827,-1.5317446,-1.8738291,-3.4092388,s3,stairsup
-3.707343636,-0.3105825581,9.3987156998,2.8368335629,2.1722986665,3.2868656887,13.30632,9.613266,29.691788,-17.67183,-10.045776,-0.14616394,-0.1999702985,-0.0468479002,0.5110641,0.392677473,0.8586344826,0.8529350225,1.0921478,7.2322235,4.0988464,-2.0457306,-4.026779,-1.8825989,nexus4,stairsdown
-1.230030818,-0.0212659032,9.3865883868,0.1845965849,0.1459832277,0.0599022344,-0.58897364,1.30484,10.068815,-2.327164,-1.5358804,8.819042,-0.0117045963,-0.0098566176,-0.009770291,0.0301806685,0.0410677478,0.0787973191,1.5673221,1.6756488,1.6375881,-1.7254206,-1.6688174,-1.8110573,s3mini,stand
-4.4405222463,-0.6296512021,8.8975584963,2.6361813787,1.722025325,2.4115410119,6.56987,6.078415,21.901031,-18.673965,-10.533752,2.3938904,0.2036996143,-0.0135010186,-0.4260254656,0.6003431802,0.5421554764,0.7013957353,1.7653046,3.074051,1.6774292,-1.5629425,-1.9322052,-3.478363,nexus4,stairsup
-2.5097530617,-0.4011294818,9.6652019747,0.2694017442,0.191764486,0.2925393944,-0.56188965,0.8035126,11.901093,-3.5229034,-1.5180969,7.909012,0.0002101933,0.0003528065,-0.0007501927,0.0088016979,0.0345113912,0.0324662112,0.13591003,0.44436646,0.38502502,-0.13679504,-0.4849701,-0.2244873,nexus4,stand
-6.4332661632,0.3821114542,7.2172738414,2.0717392476,1.5836711809,2.5394595131,4.1371803,12.631808,19.431341,-18.962078,-7.6710224,-5.2863975,-0.2430408879,-0.0135823401,0.3059145434,0.4845503843,0.6727805765,0.6044732668,3.4443636,8.99102,2.591596,-2.2666154,-2.999043,-3.0631838,s3,stairsup
-4.2137338812,0.5326478009,8.8547033787,1.2443696438,1.4139159046,0.7282044491,-0.23918152,6.268097,17.13533,-8.940796,-3.539032,5.1751556,0.0645272421,-0.030475637,-0.1442839715,0.3511423973,0.3253831524,0.4423969955,1.0985107,1.1506042,1.5228424,-1.0291748,-1.0849609,-1.5506744,nexus4,bike
-3.3188981585,-0.2885642615,9.4509244169,2.2718960346,1.5930168876,2.4788632555,3.7467499,5.3500214,17.71753,-16.117615,-7.0500793,3.3018036,0.0068423166,0.0002374383,-0.016990138,0.2724928941,0.3254831739,0.4373810818,1.3807831,1.0894928,1.8088074,-1.1207428,-1.3233795,-2.9854584,nexus4,walk
4.7803812323,0.6152869792,8.1729193293,0.0589835501,0.0914479814,0.0331998858,4.996699,2.303222,9.615114,3.1136594,0.10055647,7.878121,-0.0126464937,-0.0104433897,-0.009518637,0.033798757,0.032931961,0.0246853894,1.5765933,1.7068782,1.7303002,-3.2258923,-1.557075,-1.8464342,s3mini,sit
-4.6134762109,1.1175838346,8.7593235881,0.3091236811,0.3850677058,0.2973010046,-2.7230988,3.0986328,9.884918,-6.1807556,0.2584076,7.4829254,-0.0001557597,-0.000652684,-0.0007058934,0.0636721727,0.0486150013,0.0996783196,0.42042542,0.42703247,0.7403412,-0.41392517,-0.41036987,-0.59373474,nexus4,stand
-2.8416111072,-0.9721436003,9.210627994,0.2411674742,0.262687496,0.1950858669,-1.4939818,2.9975405,14.920665,-4.654328,-2.7581203,5.1810527,0.0027852718,0.0002813876,-0.0002201781,0.0741501579,0.0583536399,0.2738849945,0.43493605,1.2287555,1.5219707,-0.75228053,-1.9850066,-1.4709635,s3,stand
-3.6553599428,1.1366082425,9.0781793835,1.4486940139,1.8179235086,1.5401595816,0.42596436,9.622787,16.43689,-10.349976,-6.2721405,5.015671,-0.1371404092,0.0223246924,0.3361127476,0.6249372128,0.3509568187,0.5572316691,1.2940979,1.4454651,2.6142426,-1.6052856,-1.2447815,-1.0728912,nexus4,stairsup
-1.9716874595,-0.2563341928,9.4093801513,2.0744063852,2.1001813852,2.9183589272,3.6487634,6.981492,16.941372,-14.968549,-8.293514,2.4516625,0.0103527376,-0.0064404716,-0.0023176491,0.3851176377,0.3426354112,0.475972484,1.3029755,1.2147056,1.8484782,-1.7534887,-1.2696834,-3.220787,s3,walk
-0.7371309308,-1.544313327,9.8786370729,0.1487106528,0.1842035033,0.2113534749,0.27616882,0.96061707,11.930847,-2.9087677,-3.2010193,8.050644,-0.0002248251,0.0006121669,-0.0001283605,0.0298226668,0.04115325,0.2169152756,0.4544983,0.5290222,1.0101471,-0.33377075,-0.55944824,-0.964798,nexus4,sit
-0.8928102084,0.1182697835,9.4350278189,2.0296524869,1.3246388099,2.0339283783,5.4300494,7.4603324,19.488802,-12.220005,-7.144298,1.13964,0.009662843,-0.0036787405,-0.0342990812,0.2270087194,0.2795558571,0.4936894787,1.4633276,2.5192082,2.8619037,-1.207986,-1.5216653,-2.4941628,s3,null
-5.9902858248,0.5009609222,7.8937495319,0.1816217837,0.3222395619,0.2377064808,-5.3450775,2.375,8.662598,-7.0448303,-0.98890686,6.8104706,-0.001126595,0.0004127326,0.000713824,0.0270819925,0.0226023179,0.0359338889,0.6321869,0.3576355,0.44873047,-0.16963196,-0.15550232,-0.607193,nexus4,stand
-1.1802911923,0.6166890816,9.8369321991,1.0783489016,1.1644286431,1.3395514401,5.7651367,5.6594696,22.228333,-7.6861725,-4.706604,0.43940735,0.0001714167,-0.0019743311,-0.0020879005,0.4719225005,0.4233693309,0.2238492107,1.5832977,2.1018066,0.8605957,-1.3732452,-2.010437,-1.2713623,nexus4,bike
-5.9152116065,0.409824056,7.6722390728,2.368132493,2.0802791148,3.5910263067,0.59376204,10.04607,19.306843,-17.745823,-10.1226845,-0.6512229,0.2758967986,-0.0663959375,-0.3661533866,0.5942173186,0.8419334036,0.8254485689,2.7171285,4.8499646,2.8689287,-2.1633792,-2.8539624,-3.157257,s3,stairsdown
7.3551506436,-0.3906264242,6.1002940775,0.1744813169,0.1662595453,0.1612949525,8.985439,0.91338795,7.27957,5.485116,-1.0163386,4.7907977,-0.0139038751,-0.0115251066,-0.0075694543,0.0152776997,0.0394149778,0.0361075644,0.28106397,1.6302687,2.2770574,-0.31619698,-0.6897291,-0.5767667,s3mini,sit
-1.3496527504,1.5003687527,9.3469824468,0.4155254173,0.7710415087,0.2242368834,-0.10534488,4.0797195,11.626244,-3.7828386,-1.4269443,7.07726,0.0051931444,-0.0062811449,0.0119694408,0.0414798112,0.0622566699,0.1132371818,0.46944994,0.49602258,1.3799446,-0.6948592,-0.63804877,-0.7910705,s3,stand
-1.5181856643,0.0951348057,9.3463974367,1.9791457426,1.2505091959,2.7704816175,3.7062242,6.349423,19.258959,-12.679692,-6.14831,2.6431987,0.0184277873,-0.0126603441,-0.0032221679,0.2938223126,0.2630793962,0.4430401481,1.890017,1.5717562,2.1303926,-1.9104811,-1.1539245,-3.3166928,s3,walk
5.1715258047,0.86022358,8.0591242399,0.0818943794,0.056571556,0.1596859569,5.449203,1.2258313,8.580819,4.759673,0.37349546,7.5848308,0.0038975323,0.0017367316,-0.0028568407,0.0062198407,0.0137641185,0.0081499388,0.103847094,0.15790866,0.093767814,-0.063224554,-0.13622294,-0.1301143,s3,sit
3.9214810308,-0.3364544738,9.2623959103,0.1295215199,0.2569163518,0.2610012711,4.69635,1.9286804,10.208649,0.57133484,-2.2857666,8.398178,0.000343701,-0.0003507628,0.0013620841,0.0114853794,0.0109256226,0.02802637,0.42765808,0.22102356,0.72203064,-0.19291687,-0.27030945,-0.19761658,nexus4,sit
8.7865000263,0.5412989178,3.9408295088,0.2668801736,0.2993891494,0.4472122716,10.116699,3.371036,7.825448,-3.13401,-2.0482395,1.2904748,-0.0170291211,-0.0128235863,-0.0074467617,0.0251876668,0.0579124246,0.0485226998,1.4341094,1.4294739,1.6451515,-1.1710999,-1.6492991,-1.7163934,s3mini,sit
4.4373456789,1.4685097184,8.4542119102,0.1310309907,0.2116955899,0.1786579942,5.1235914,2.3080103,9.80665,3.3614593,0.61291564,7.28795,0.003911381,0.0038126257,-0.0041248143,0.0117903425,0.0176139312,0.0184135172,0.14844026,0.33567044,0.29443705,-0.28710666,-0.27977628,-0.21288654,s3,sit
-1.0473237355,1.2648485842,9.821300414,0.4383804088,0.7416187875,0.3009989219,2.2636108,3.557602,12.27243,-4.3298492,-1.2669678,7.3567657,-0.0002340143,0.0006638342,0.0009746221,0.0340437192,0.0593685063,0.1088000839,0.4558258,0.5121002,1.3856354,-0.41897583,-0.73332214,-0.8125458,nexus4,stand
-5.4360089085,-0.1481775192,8.0798589651,2.0918310244,1.576773277,2.3213012045,-1.091756,6.2632318,15.974113,-17.219099,-7.575254,2.4516625,-0.0050017694,-0.0071768975,0.0136174653,0.3356968245,0.4831771047,0.5177110839,1.5845845,2.1627684,3.1557298,-2.175902,-1.9049833,-2.2626448,s3,walk
-0.6325999466,-0.1982743281,9.8443651476,2.1984204848,1.3015992603,2.1432639716,5.708008,6.3502197,26.651062,-20.139252,-6.6727905,1.0702057,0.0013484912,0.000215918,-0.0460009544,0.2379460439,0.2983534448,0.4752339821,1.4604645,2.6305237,2.4563599,-1.2333221,-1.4699707,-2.5274658,nexus4,null
