Codigo;Descripcion;DescripcionGrupo;CodigoGrupo;Cuestionario;CodigoGrupo2
TC018Q01NA;Incluyendo la formación docente, prácticas u otras cualificaciones: lectura, escritura y literatura;Experiencia Docente;EXPDOC;Profesores;G1
TC018Q01NB;Enseñar en 3º ESO en el actual año escolar: lectura, escritura y literatura;Experiencia Docente;EXPDOC;Profesores;G1
TC018Q02NA;Incluyendo la formación docente, prácticas u otras cualificaciones: matemáticas;Experiencia Docente;EXPDOC;Profesores;G1
TC018Q02NB;Enseñar en 3º ESO en el actual año escolar: matemáticas;Experiencia Docente;EXPDOC;Profesores;G1
TC018Q03NA;Incluyendo la formación docente, prácticas u otras cualificaciones: ciencias;Experiencia Docente;EXPDOC;Profesores;G1
TC018Q03NB;Enseñar en 3º ESO en el actual año escolar: ciencias;Experiencia Docente;EXPDOC;Profesores;G1
TC018Q04NA;Incluyendo la formación docente, prácticas u otras cualificaciones: tecnología;Experiencia Docente;EXPDOC;Profesores;G1
TC018Q04NB;Enseñar en 3º ESO en el actual año escolar: tecnología;Experiencia Docente;EXPDOC;Profesores;G1
TC018Q05NA;Incluyendo la formación docente, prácticas u otras cualificaciones: ciencias sociales;Experiencia Docente;EXPDOC;Profesores;G1
TC018Q05NB;Enseñar en 3º ESO en el actual año escolar: ciencias sociales;Experiencia Docente;EXPDOC;Profesores;G1
TC018Q06NA;Incluyendo la formación docente, prácticas u otras cualificaciones: Lenguas extranjeras modernas;Experiencia Docente;EXPDOC;Profesores;G1
TC018Q06NB;Enseñar en 3º ESO en el actual año escolar: lenguas extranjeras modernas;Experiencia Docente;EXPDOC;Profesores;G1
TC018Q07NA;Incluyendo la formación docente, prácticas u otras cualificaciones: lenguas clásicas (por ejemplo, latín);Experiencia Docente;EXPDOC;Profesores;G1
TC018Q07NB;Enseñar en 3º ESO en el actual año escolar: lenguas clásicas (por ejemplo, latín);Experiencia Docente;EXPDOC;Profesores;G1
TC018Q08NA;Incluyendo la formación docente, prácticas u otras cualificaciones: arte (educación artística);Experiencia Docente;EXPDOC;Profesores;G1
TC018Q08NB;Enseñar en 3º ESO en el actual año escolar: arte (educación artística);Experiencia Docente;EXPDOC;Profesores;G1
TC018Q09NA;Incluyendo la formación docente, prácticas u otras cualificaciones: educación física;Experiencia Docente;EXPDOC;Profesores;G1
TC018Q09NB;Enseñar en 3º ESO en el actual año escolar: educación física;Experiencia Docente;EXPDOC;Profesores;G1
TC018Q10NA;Incluyendo la formación docente, prácticas u otras cualificaciones: lectura, escritura y literatura;Experiencia Docente;EXPDOC;Profesores;G1
TC018Q10NB;Enseñar en 3º ESO en el actual año escolar: religión y/o ética;Experiencia Docente;EXPDOC;Profesores;G1
TC018Q11NA;Incluyendo la formación docente, prácticas u otras cualificaciones: religión y/o ética;Experiencia Docente;EXPDOC;Profesores;G1
TC018Q11NB;Enseñar en 3º ESO en el actual año escolar: prácticas o programas de formación profesional;Experiencia Docente;EXPDOC;Profesores;G1
TC045Q01NA;Incluyendo la formación docente, prácticas u otras cualificaciones: conocimiento y entendimiento del campo de mi(s) asgnatura(s);Experiencia Docente;EXPDOC;Profesores;G1
TC045Q01NB;Incluyendo el desarrollo profesional de los últimos 12 meses: conocimiento y entendimiento del campo de mi(s) asgnatura(s);Experiencia Docente;EXPDOC;Profesores;G1
TC045Q02NA;Incluyendo la formación docente, prácticas u otras cualificaciones: competencias pedagógicas en la enseñanza del campo de mi(s) asignatura(s);Experiencia Docente;EXPDOC;Profesores;G1
TC045Q02NB;Incluyendo el desarrollo profesional de los últimos 12 meses: competencias pedagógicas en la enseñanza del campo de mi(s) asignatura(s);Experiencia Docente;EXPDOC;Profesores;G1
TC045Q03NA;Incluyendo la formación docente, prácticas u otras cualificaciones: conocimiento del currículo;Experiencia Docente;EXPDOC;Profesores;G1
TC045Q03NB;Incluyendo el desarrollo profesional de los últimos 12 meses: conocimiento del currículo;Experiencia Docente;EXPDOC;Profesores;G1
TC045Q04NA;Incluyendo la formación docente, prácticas u otras cualificaciones: evaluación del alumnado;Experiencia Docente;EXPDOC;Profesores;G1
TC045Q04NB;Incluyendo el desarrollo profesional de los últimos 12 meses: evaluación del alumnado;Experiencia Docente;EXPDOC;Profesores;G1
TC045Q05NA;Incluyendo la formación docente, prácticas u otras cualificaciones: habilidades TIC para la enseñanza;Experiencia Docente;EXPDOC;Profesores;G1
TC045Q05NB;Incluyendo el desarrollo profesional de los últimos 12 meses: habilidades TIC para la enseñanza;Experiencia Docente;EXPDOC;Profesores;G1
TC045Q06NA;Incluyendo la formación docente, prácticas u otras cualificaciones: comportamiento del alumnado y gestión del aula ;Experiencia Docente;EXPDOC;Profesores;G1
TC045Q06NB;Incluyendo el desarrollo profesional de los últimos 12 meses: comportamiento del alumnado y gestión del aula;Experiencia Docente;EXPDOC;Profesores;G1
TC045Q07NA;Incluyendo la formación docente, prácticas u otras cualificaciones: gestión y administración de centros ;Experiencia Docente;EXPDOC;Profesores;G1
TC045Q07NB;Incluyendo el desarrollo profesional de los últimos 12 meses: gestión y administración de centros;Experiencia Docente;EXPDOC;Profesores;G1
TC045Q08NA;Incluyendo la formación docente, prácticas u otras cualificaciones: enfoque de aprendizaje individualizado;Experiencia Docente;EXPDOC;Profesores;G1
TC045Q08NB;Incluyendo el desarrollo profesional de los últimos 12 meses: enfoque de aprendizaje individualizado;Experiencia Docente;EXPDOC;Profesores;G1
TC045Q09NA;Incluyendo la formación docente, prácticas u otras cualificaciones: enseñanza dirigida al alumnado con necesidades específicas;Experiencia Docente;EXPDOC;Profesores;G1
TC045Q09NB;Incluyendo el desarrollo profesional de los últimos 12 meses: enseñanza dirigida al alumnado con necesidades específicas;Experiencia Docente;EXPDOC;Profesores;G1
TC045Q10NA;Incluyendo la formación docente, prácticas u otras cualificaciones: enseñanza en entornos multiculturales o multilingües;Experiencia Docente;EXPDOC;Profesores;G1
TC045Q10NB;Incluyendo el desarrollo profesional de los últimos 12 meses: enseñanza en entornos multiculturales o multilingües;Experiencia Docente;EXPDOC;Profesores;G1
TC045Q11NA;Incluyendo la formación docente, prácticas u otras cualificaciones: enseñanza de habilidades transversales ;Experiencia Docente;EXPDOC;Profesores;G1
TC045Q11NB;Incluyendo el desarrollo profesional de los últimos 12 meses: enseñanza de habilidades transversales;Experiencia Docente;EXPDOC;Profesores;G1
TC045Q12NA;Incluyendo la formación docente, prácticas u otras cualificaciones: orientación y asesoramiento educativo;Experiencia Docente;EXPDOC;Profesores;G1
TC045Q12NB;Incluyendo el desarrollo profesional de los últimos 12 meses: orientación y asesoramiento educativo;Experiencia Docente;EXPDOC;Profesores;G1
TC045Q13NA;Incluyendo la formación docente, prácticas u otras cualificaciones: evaluación interna y autoevaluacion de los centros educativos;Experiencia Docente;EXPDOC;Profesores;G1
TC045Q13NB;Incluyendo el desarrollo profesional de los últimos 12 meses: evaluación interna y autoevaluacion de los centros educativos;Experiencia Docente;EXPDOC;Profesores;G1
TC045Q14NA;Incluyendo la formación docente, prácticas u otras cualificaciones: uso de los resultados de evaluación;Experiencia Docente;EXPDOC;Profesores;G1
TC045Q14NB;Incluyendo el desarrollo profesional de los últimos 12 meses: uso de los resultados de evaluación;Experiencia Docente;EXPDOC;Profesores;G1
TC045Q15NA;Incluyendo la formación docente, prácticas u otras cualificaciones: cooperación entre familias y docentes;Experiencia Docente;EXPDOC;Profesores;G1
TC045Q15NB;Incluyendo el desarrollo profesional de los últimos 12 meses: cooperación entre familias y docentes;Experiencia Docente;EXPDOC;Profesores;G1
TC045Q16HA;Incluyendo la formación docente, prácticas u otras cualificaciones: enseñanza de una segunda lengua;Experiencia Docente;EXPDOC;Profesores;G1
TC045Q16HB;Incluyendo el desarrollo profesional de los últimos 12 meses: enseñanza de una segunda lengua;Experiencia Docente;EXPDOC;Profesores;G1
TC045Q17HA;Incluyendo la formación docente, prácticas u otras cualificaciones: comunicación con personas de diferentes culturas;Experiencia Docente;EXPDOC;Profesores;G1
TC045Q17HB;Incluyendo el desarrollo profesional de los últimos 12 meses: comunicación con personas de diferentes culturas;Experiencia Docente;EXPDOC;Profesores;G1
TC045Q18HA;Incluyendo la formación docente, prácticas u otras cualificaciones: enseñar sobre equidad y diversidad;Experiencia Docente;EXPDOC;Profesores;G1
TC045Q18HB;Incluyendo el desarrollo profesional de los últimos 12 meses: enseñar sobre equidad y diversidad;Experiencia Docente;EXPDOC;Profesores;G1
TC203Q01HA;Proporción de tu formación docente dedicada a: comprensión lectora;Experiencia Docente;EXPDOC;Profesores;G1
TC203Q02HA;Proporción de tu formación docente dedicada a: pedagogía/didáctica de la comprensión lectora;Experiencia Docente;EXPDOC;Profesores;G1
TC203Q03HA;Proporción de tu formación docente dedicada a: conocimientos generales de la pedagogía;Experiencia Docente;EXPDOC;Profesores;G1
TC150Q01HA;En tu educación y/o  prácticas formal, ¿estudiaste: lengua castellana?;Experiencia Docente;EXPDOC;Profesores;G1
TC150Q02HA;En tu educación y/o  prácticas formal, ¿estudiaste:  didáctica de la lengua castellana?;Experiencia Docente;EXPDOC;Profesores;G1
TC150Q03HA;En tu educación y/o  prácticas formal, ¿estudiaste: educación física?;Experiencia Docente;EXPDOC;Profesores;G1
TC150Q05HA;En tu educación y/o  prácticas formal, ¿estudiaste:  modelos teóricos y procesos de la comprensión lectura?;Experiencia Docente;EXPDOC;Profesores;G1
TC150Q06HA;En tu educación y/o  prácticas formal, ¿estudiaste: educación especial?;Experiencia Docente;EXPDOC;Profesores;G1
TC150Q07HA;En tu educación y/o  prácticas formal, ¿estudiaste: didáctica de la lengua castellana como segundo idioma (español para migrantes)?;Experiencia Docente;EXPDOC;Profesores;G1
TC150Q08HA;En tu educación y/o  prácticas formal, ¿estudiaste: métodos de evaluación para la comprensión lectora?;Experiencia Docente;EXPDOC;Profesores;G1
TC204Q01HA;Durante los últimos 12 meses, proporción de tu desarrollo profesional lo has dedicado a: ;Experiencia Docente;EXPDOC;Profesores;G1
TC204Q02HA;Durante los últimos 12 meses, proporción de tu desarrollo profesional lo has dedicado a: ;Experiencia Docente;EXPDOC;Profesores;G1
TC204Q03HA;Durante los últimos 12 meses, proporción de tu desarrollo profesional lo has dedicado a: ;Experiencia Docente;EXPDOC;Profesores;G1
STTMG1;Superposición entre educación incial y el grado de enseñanza actual: lectura, escritura y literatura;Formación del profesorado;FORDOC;Profesores;G2
STTMG2;Superposición entre educación incial y el grado de enseñanza actual: matemáticas;Formación del profesorado;FORDOC;Profesores;G2
STTMG3;Superposición entre educación incial y el grado de enseñanza actual: ciencias;Formación del profesorado;FORDOC;Profesores;G2
STTMG4;Superposición entre educación incial y el grado de enseñanza actual: tecnología;Formación del profesorado;FORDOC;Profesores;G2
STTMG5;Superposición entre educación incial y el grado de enseñanza actual: ciencias sociales;Formación del profesorado;FORDOC;Profesores;G2
STTMG6;Superposición entre educación incial y el grado de enseñanza actual: idiomas extranjeros modernos;Formación del profesorado;FORDOC;Profesores;G2
STTMG7;Superposición entre educación inicial y el grado de enseñanza actual: lenguas clásicas;Formación del profesorado;FORDOC;Profesores;G2
STTMG8;Superposición entre educación incial y el grado de enseñanza actual: arte;Formación del profesorado;FORDOC;Profesores;G2
STTMG9;Superposición entre educación incial y el grado de enseñanza actual: educación física;Formación del profesorado;FORDOC;Profesores;G2
STTMG10;Superposición entre educación incial y el grado de enseñanza actual: religión y/o ética;Formación del profesorado;FORDOC;Profesores;G2
STTMG11;Superposición entre educación incial y el grado de enseñanza actual: prácticas y formación profesional;Formación del profesorado;FORDOC;Profesores;G2
NTEACH1;Asignatura incluida en el programa de prácticas:lectura, escritura y literatura;Formación del profesorado;FORDOC;Profesores;G2
NTEACH2;Asignatura incluida en el programa de prácticas: matemáticas;Formación del profesorado;FORDOC;Profesores;G2
NTEACH3;Asignatura incluida en el programa de prácticas: ciencias;Formación del profesorado;FORDOC;Profesores;G2
NTEACH4;Asignatura incluida en el programa de prácticas: tecnología;Formación del profesorado;FORDOC;Profesores;G2
NTEACH5;Asignatura incluida en el programa de prácticas: ciencias sociales;Formación del profesorado;FORDOC;Profesores;G2
NTEACH6;Asignatura incluida en el programa de prácticas:lenguas extranjeras modernas;Formación del profesorado;FORDOC;Profesores;G2
NTEACH7;Asignatura incluida en el programa de prácticas: lenguas clásicas (por ejemplo, Latín);Formación del profesorado;FORDOC;Profesores;G2
NTEACH8;Asignatura incluida en el programa de prácticas: Arte;Formación del profesorado;FORDOC;Profesores;G2
NTEACH9;Asignatura incluida en el programa de prácticas: educación física;Formación del profesorado;FORDOC;Profesores;G2
NTEACH10;Asignatura incluida en el programa de prácticas: religión y/o ética;Formación del profesorado;FORDOC;Profesores;G2
NTEACH11;Asignatura incluida en el programa de prácticas: prácticas y formación profesional;Formación del profesorado;FORDOC;Profesores;G2
TC054Q01NA;En relación a la evaluación del aprendizaje del alumnado, ¿con qué frecuencia: desarrollo y administro mi propia evaluación??;Implicación en la evaluación del alumnado;IMEVAL;Profesores;G2
TC054Q02NA;En relación a la evaluación del aprendizaje del alumnado, ¿con qué frecuencia: administro evaluaciones estandarizadas?;Implicación en la evaluación del alumnado;IMEVAL;Profesores;G2
TC054Q03NA;En relación a la evaluación del aprendizaje del alumnado, ¿con qué frecuencia: hago preguntas individuales al alumando en la clase?;Implicación en la evaluación del alumnado;IMEVAL;Profesores;G2
TC054Q04NA;En relación a la evaluación del aprendizaje del alumnado, ¿con qué frecuencia: entrego feedback escrito al alumnado además de la nota?;Implicación en la evaluación del alumnado;IMEVAL;Profesores;G2
TC054Q05NA;En relación a la evaluación del aprendizaje del alumnado, ¿con qué frecuencia: permito que el alumando juzgue su propio progreso?;Implicación en la evaluación del alumnado;IMEVAL;Profesores;G2
TC054Q06NA;En relación a la evaluación del aprendizaje del alumnado, ¿con qué frecuencia: observo al alumando cuando están trabajando y les doy feedback inmediato?;Implicación en la evaluación del alumnado;IMEVAL;Profesores;G2
TC054Q07NA;En relación a la evaluación del aprendizaje del alumnado, ¿con qué frecuencia: recojo datos de las tareas de clase o deberes?;Implicación en la evaluación del alumnado;IMEVAL;Profesores;G2
TC192Q01HA;¿Con qué frecuencia en tus clases: cuento al alumando su rendimiento en mi curso?;Implicación en la evaluación del alumnado;IMEVAL;Profesores;G2
TC192Q02HA;¿Con qué frecuencia en tus clases: doy feedback sobre sus fortalezas en mi clase?;Implicación en la evaluación del alumnado;IMEVAL;Profesores;G2
TC192Q03HA;¿Con qué frecuencia en tus clases: comento al lumnado en que áreas aun pueden mejorar?;Implicación en la evaluación del alumnado;IMEVAL;Profesores;G2
TC192Q04HA;¿Con qué frecuencia en tus clases: comento al alumnado como pueden mejorar su rendimiento?;Implicación en la evaluación del alumnado;IMEVAL;Profesores;G2
TC192Q05HA;¿Con qué frecuencia en tus clases: aconsejo al alumando como pueden conseguir sus metas de aprendizaje?;Implicación en la evaluación del alumnado;IMEVAL;Profesores;G2
TC163Q01HA;¿Cómo de importante consideras la enseñanza de las siguientes habilidades/capacidades en tus clases: habilidades relacionadas con la comprensión lectora;Importancia de las habilidades básicas en educación en su enseñannza;IMHAED;Profesores;G2
TC163Q02HA;¿Cómo de importante consideras la enseñanza de las siguientes habilidades/capacidades en tus clases: habilidades relacionadas con la escritura;Importancia de las habilidades básicas en educación en su enseñannza;IMHAED;Profesores;G2
TC163Q03HA;¿Cómo de importante consideras la enseñanza de las siguientes habilidades/capacidades en tus clases: habilidades relacionadas con la comprensión al escuchar;Importancia de las habilidades básicas en educación en su enseñannza;IMHAED;Profesores;G2
TC163Q04HA;¿Cómo de importante consideras la enseñanza de las siguientes habilidades/capacidades en tus clases: habilidades relacionadas con la comunicación oral;Importancia de las habilidades básicas en educación en su enseñannza;IMHAED;Profesores;G2
TC021Q01NA;¿Te han solicitado para participar en actividades de desarrollo profesional?;Interés por la docencia;INTDOC;Profesores;G2
TC175Q01HA;¿Cuánto tiempo fuera de tu horario de clase destinas a leer sobre tu trabajo?;Interés por la docencia;INTDOC;Profesores;G2
TC198Q01HA;De acuerdo: las ventajas de ser docentes claramente superan las de no serlo;Interés por la docencia;INTDOC;Profesores;G2
TC198Q02HA;De acuerdo: si pudiera elegir de nuevo, volvería a elegir trabajar como docente;Interés por la docencia;INTDOC;Profesores;G2
TC198Q03HA;De acuerdo: me gustaría cambiar a otro colegio si fuera popsible;Interés por la docencia;INTDOC;Profesores;G2
TC198Q04HA;De acuerdo: me arrepiento de ser docente;Interés por la docencia;INTDOC;Profesores;G2
TC198Q05HA;De acuerdo: me divierte trabajar en este colegio;Interés por la docencia;INTDOC;Profesores;G2
TC198Q06HA;De acuerdo: me pregunto si me huviera ido mejor si hubiera escogido otra profesión;Interés por la docencia;INTDOC;Profesores;G2
TC198Q07HA;De acuerdo: recomendaria mi colegio como un buen sitio para trabajar;Interés por la docencia;INTDOC;Profesores;G2
TC198Q08HA;De acuerdo: creo que la docencia es valorada por la sociedad;Interés por la docencia;INTDOC;Profesores;G2
TC198Q09HA;De acuerdo: estoy satisfecho/a con mi rendimiento en este colegio;Interés por la docencia;INTDOC;Profesores;G2
TC198Q10HA;De acuerdo: Después de todo, me siento satisfecho/a con mi trabajo;Interés por la docencia;INTDOC;Profesores;G2
TC152Q01HA;De acuerdo: todo el profesorado debería estar capacitado en comprensión lectora;Interés por la docencia;INTDOC;Profesores;G2
TC152Q02HA;De acuerdo: todo el profesorado yiene responsabilidad en la mejora de la capacidad lectora de su alumnado;Interés por la docencia;INTDOC;Profesores;G2
TC152Q03HA;De acuerdo: sé cómo diagnosticar problemas de comprensión lectora en el alumnado;Interés por la docencia;INTDOC;Profesores;G2
TC152Q04HA;De acuerdo: me siento seguro/a en mi capacidad para enseñar estrategias de comprensión lectora;Interés por la docencia;INTDOC;Profesores;G2
TC193Q01HA;Durante los últimos 12 meses, has participado en: cursos/talleres;Interés por la docencia;INTDOC;Profesores;G2
TC193Q02HA;Durante los últimos 12 meses, has participado en: conferencias o seminarios de educación;Interés por la docencia;INTDOC;Profesores;G2
TC193Q03HA;Durante los últimos 12 meses, has participado en: visitas para observar otros colegios;Interés por la docencia;INTDOC;Profesores;G2
TC193Q04HA;Durante los últimos 12 meses, has participado en: visitas para observar empresas, organizaciones públicas, ...;Interés por la docencia;INTDOC;Profesores;G2
TC193Q05HA;Durante los últimos 12 meses, has participado en: formación continua en empresas, organizaciones públicas;Interés por la docencia;INTDOC;Profesores;G2
TC020Q01NA;Durante los últimos 12 meses, has participado en: programas de calificación (por ejemplo, programas de grado);Interés por la docencia;INTDOC;Profesores;G2
TC020Q02NA;Durante los últimos 12 meses, has participado en: redes de docentes formados específicamente para...;Interés por la docencia;INTDOC;Profesores;G2
TC020Q03NA;Durante los últimos 12 meses, has participado en: investigaciones individuales o colaborativas sobre temas de tu interés;Interés por la docencia;INTDOC;Profesores;G2
TC020Q04NA;Durante los últimos 12 meses, has participado en: Monitoreo y/o observación de iguales y coaching, como parteformal de...;Interés por la docencia;INTDOC;Profesores;G2
TC020Q05NA;Durante los últimos 12 meses, has participado en: lecturas profesionales (por ejemplo, periódicos, artículos científicos, ...);Interés por la docencia;INTDOC;Profesores;G2
TC020Q06NA;Durante los últimos 12 meses, has participado en: diálogos informales con tus colegas de profesión sobre cómo mejorar tu enseñanza;Interés por la docencia;INTDOC;Profesores;G2
TC046Q04NA;¿Con qué frecuencia: intercambias materiales didácticos con otros colegas profesionales?;Interés por la docencia;INTDOC;Profesores;G2
TC046Q05NA;¿Con qué frecuencia: participas en discusiones/reuniones sobre el desarrollo del aprendizaje de alumnado específico?;Interés por la docencia;INTDOC;Profesores;G2
TC046Q06NA;¿Con qué frecuencia: trabajas con otros docentes para asegurar estándares comunes de evaluación en los procesos de evaluación del alumnado?;Interés por la docencia;INTDOC;Profesores;G2
TC046Q07NA;¿Con qué frecuencia: asistes a reuniones de equipo?;Interés por la docencia;INTDOC;Profesores;G2
TC202Q01HA;¿Con qué frecuencia en tus clases de lengua castellana: adapto mi enseñanza para adaptarla a las necesidades de mi alumnado?;Utilización de metodologías centradas en el alumnado;MECENALU;Profesores;G3
TC202Q02HA;¿Con qué frecuencia en tus clases de lengua castellana: facilito ayuda individualizada cuando un/a estudiante tiene dificultades de entendimiento...?;Utilización de metodologías centradas en el alumnado;MECENALU;Profesores;G3
TC202Q03HA;¿Con qué frecuencia en tus clases de lengua castellana: cambio la estructura mis clases hacia temas en los que la mayoria del alumnado...?;Utilización de metodologías centradas en el alumnado;MECENALU;Profesores;G3
TC202Q04HA;¿Con qué frecuencia en tus clases de lengua castellana: facilito apoyo individual al alumnado más avanzado?;Utilización de metodologías centradas en el alumnado;MECENALU;Profesores;G3
TC202Q05HA;¿Con qué frecuencia en tus clases de lengua castellana: comento al alumnado cómo está su rendimiento en mi curso?;Utilización de metodologías centradas en el alumnado;MECENALU;Profesores;G3
TC202Q06HA;¿Con qué frecuencia en tus clases de lengua castellana: doy feedback sobre sus fortalezas en mi curso?;Utilización de metodologías centradas en el alumnado;MECENALU;Profesores;G3
TC202Q07HA;¿Con qué frecuencia en tus clases de lengua castellana: digo al alumando en qué áreas pueden mejorar?;Utilización de metodologías centradas en el alumnado;MECENALU;Profesores;G3
TC202Q08HA;¿Con qué frecuencia en tus clases de lengua castellana: comento al alumnado como mejorar su rendimiento?;Utilización de metodologías centradas en el alumnado;MECENALU;Profesores;G3
TC202Q09HA;¿Con qué frecuencia en tus clases de lengua castellana: aconsejo al alumnado con pueden alcanzar sus metas de aprendizaje?;Utilización de metodologías centradas en el alumnado;MECENALU;Profesores;G3
TC171Q01HA;¿Con qué frecuencia en tus clases de lengua castellana: establezco metas claras para el proceso de aprendizaje del alumnado;Utilización de metodologías centradas en el alumnado;MECENALU;Profesores;G3
TC171Q02HA;¿Con qué frecuencia en tus clases de lengua castellana: hago preguntas para chequear que el alumnado entiende lo que estoy enseñando?;Utilización de metodologías centradas en el alumnado;MECENALU;Profesores;G3
TC171Q03HA;¿Con qué frecuencia en tus clases de lengua castellana: Al principio, presento un pequeño resumen de la lección anterior?;Utilización de metodologías centradas en el alumnado;MECENALU;Profesores;G3
TC171Q04HA;¿Con qué frecuencia en tus clases de lengua castellana: comento al alumnado que tienen que aprender;Utilización de metodologías centradas en el alumnado;MECENALU;Profesores;G3
TC156Q05IA;En tus clases de lengua castellana, ¿con qué frecuencia: has animado al alumando a que esprese su opinión sobre un texto?;Metodologías inclusivas para la comprensión lectora y el pensamiento crítico;MEINCLU;Profesores;G3
