Codigo;Descripcion;DescripcionGrupo;CodigoGrupo;Cuestionario;CodigoGrupo2;;;
ST038Q07NA;Durante los ultimos 12 meses, ¿con qué frecuencia: he sido golpeado o empujado por otros?;Acoso escolar;ACOESCO;Estudiantes;G1;;;
ST038Q08NA;Durante los ultimos 12 meses, ¿con qué frecuencia: otros estudiantes propagan rumores desagradables sobre mí?;Acoso escolar;ACOESCO;Estudiantes;G1;;;
ST207Q01HA;De acuerdo: me irrita que nadie defienda a estudiantes acosados;Acoso escolar;ACOESCO;Estudiantes;G1;;;
ST207Q02HA;De acuerdo: es bueno ayudar a los estudiantes que no pueden defenderse solos;Acoso escolar;ACOESCO;Estudiantes;G1;;;
ST207Q03HA;De acuerdo: está mal unirse para acosar/hacer bullying;Acoso escolar;ACOESCO;Estudiantes;G1;;;
ST207Q04HA;De acuerdo: me siento mal viendo a otros estudiantes siendo acosados;Acoso escolar;ACOESCO;Estudiantes;G1;;;
ST207Q05HA;De acuerdo: me gusta cuando alguien se posiciona a favor de otros que están siendo acosados;Acoso escolar;ACOESCO;Estudiantes;G1;;;
WB032Q01NA;Fuera del colegio, en los últimos 7 días, ¿cuántos días has estado involucrado en: actividad física moderada---?;Actividad física;ACTIFIS;Estudiantes;G1;;;
WB032Q02NA;Fuera del colegio, en los últimos 7 días, ¿cuántos días has estado involucrado en: actividad física de alto rendimiento---?;Actividad física;ACTIFIS;Estudiantes;G1;;;
WB031Q01NA;Este año escolar, de media, ¿cuántos días has atendido a clases de educación física por semana?;Actividad física;ACTIFIS;Estudiantes;G1;;;
FL160Q01HA;Piensa en comprar un nuevo producto con tu paga: comparo precios en diferentes tiendas;Aplicación de la educación financiera;APLIEDUFIN;Estudiantes;G1;;;
FL160Q02HA;Piensa en comprar un nuevo producto con tu paga: comparo precios entre una tienda y una tienda on-line;Aplicación de la educación financiera;APLIEDUFIN;Estudiantes;G1;;;
FL160Q03HA;Piensa en comprar un nuevo producto con tu paga: comprar un producto sin comparar precios;Aplicación de la educación financiera;APLIEDUFIN;Estudiantes;G1;;;
FL160Q04HA;Piensa en comprar un nuevo producto con tu paga: esperar hasta que el producto sea más barato antes de comprarlo;Aplicación de la educación financiera;APLIEDUFIN;Estudiantes;G1;;;
FL161Q01HA;¿Tienes alguna de las siguientes cosas? Una cuenta con (un banco, una sociedad constructora, caja o cooperativa de crédito);Aplicación de la educación financiera;APLIEDUFIN;Estudiantes;G1;;;
FL161Q02HA;¿Tienes alguna de las siguientes cosas? Tarjeta de crédito/débito;Aplicación de la educación financiera;APLIEDUFIN;Estudiantes;G1;;;
FL161Q03HA;¿Tienes alguna de las siguientes cosas? Una aplicación móvil con acceso a tu cuenta;Aplicación de la educación financiera;APLIEDUFIN;Estudiantes;G1;;;
FL162Q01HA;Confianza para hacer lo siguiente: hacer transferencias bancarias (por ejemplo, pagar una factura);Aplicación de la educación financiera;APLIEDUFIN;Estudiantes;G1;;;
FL162Q02HA;Confianza para hacer lo siguiente: completar formularios del banco;Aplicación de la educación financiera;APLIEDUFIN;Estudiantes;G1;;;
FL162Q03HA;Confianza para hacer lo siguiente: entender las conficiones bancarias;Aplicación de la educación financiera;APLIEDUFIN;Estudiantes;G1;;;
FL162Q04HA;Confianza para hacer lo siguiente: entender un contrato de ventas;Aplicación de la educación financiera;APLIEDUFIN;Estudiantes;G1;;;
FL162Q05HA;Confianza para hacer lo siguiente: hacer seguimiento de mi cuenta bancaria;Aplicación de la educación financiera;APLIEDUFIN;Estudiantes;G1;;;
FL162Q06HA;Confianza para hacer lo siguiente: planificar mi gasto considerando mi situación financiera actual;Aplicación de la educación financiera;APLIEDUFIN;Estudiantes;G1;;;
FL163Q01HA;Confianza sobre el uso de dispositivos digitales o electrónicos fuera del banco: transferencia de dinero;Aplicación de la educación financiera;APLIEDUFIN;Estudiantes;G1;;;
FL163Q02HA;Confianza sobre el uso de dispositivos digitales o electrónicos fuera del banco: hacer seguimiento de mi cuenta;Aplicación de la educación financiera;APLIEDUFIN;Estudiantes;G1;;;
FL163Q03HA;Confianza sobre el uso de dispositivos digitales o electrónicos fuera del banco: pagar con una tarjeta de débito en vez de utilizar efectivo;Aplicación de la educación financiera;APLIEDUFIN;Estudiantes;G1;;;
FL163Q04HA;Confianza sobre el uso de dispositivos digitales o electrónicos fuera del banco: pagar con un dispositivo móvil (…) en vez de efectivo;Aplicación de la educación financiera;APLIEDUFIN;Estudiantes;G1;;;
FL163Q05HA;Confianza sobre el uso de dispositivos digitales o electrónicos fuera del banco: garantizar la seguridad de la información sensible cuando (…);Aplicación de la educación financiera;APLIEDUFIN;Estudiantes;G1;;;
FL168Q01HA;En los últimos 12 meses: verificar que te han dado el cambio correcto cuando compras algo;Aplicación de la educación financiera;APLIEDUFIN;Estudiantes;G1;;;
FL168Q03HA;En los últimos 12 meses: quejarte sobre no tener suficiente dinero para algo que quieres comprar;Aplicación de la educación financiera;APLIEDUFIN;Estudiantes;G1;;;
FL168Q04HA;En los últimos 12 meses: comprar algo on-line (solo o con un algún miembro familiar);Aplicación de la educación financiera;APLIEDUFIN;Estudiantes;G1;;;
FL169Q01HA;De acuerdo: me entretengo hablando sobre auntos económicos;Aplicación de la educación financiera;APLIEDUFIN;Estudiantes;G1;;;
FL169Q02HA;De acuerdo: la gente jóven debe dehacer sis propias decisiones sobre cómo gastar su dinero;Aplicación de la educación financiera;APLIEDUFIN;Estudiantes;G1;;;
FL169Q03HA;De acuerdo: los asuntos económicos no son relevantes para mi en este momento;Aplicación de la educación financiera;APLIEDUFIN;Estudiantes;G1;;;
FL169Q04HA;De acuerdo: me gustaría tener mi propio negocio en un futuro;Aplicación de la educación financiera;APLIEDUFIN;Estudiantes;G1;;;
EC155Q01DA;¿Con qué frecuencia las siguientes personas te ayudan con tus trabajos escolares? Tu madre;Apoyo en las actividades educativas;APOACTEDU;Estudiantes;G1;;;
EC155Q02DA;¿Con qué frecuencia las siguientes personas te ayudan con tus trabajos escolares? Tu padre;Apoyo en las actividades educativas;APOACTEDU;Estudiantes;G1;;;
EC155Q03DA;¿Con qué frecuencia las siguientes personas te ayudan con tus trabajos escolares? Tus hermanos y hermanas;Apoyo en las actividades educativas;APOACTEDU;Estudiantes;G1;;;
EC155Q04HA;¿Con qué frecuencia las siguientes personas te ayudan con tus trabajos escolares? Otros familiares;Apoyo en las actividades educativas;APOACTEDU;Estudiantes;G1;;;
EC155Q05HA;¿Con qué frecuencia las siguientes personas te ayudan con tus trabajos escolares? Otras personas;Apoyo en las actividades educativas;APOACTEDU;Estudiantes;G1;;;
ST196Q02HA;¿Cómo de fácil es para ti la realización de esta tarea: explicar cómo las emisiones de dióxido de carbono afectan al cambio climático?;Aprendizaje de capacidades de análisis y pensamiento crítico;APRECAPEN;Estudiantes;G1;;;
ST196Q03HA;¿Cómo de fácil es para ti la realización de esta tarea: establecer las conexiones entre el precio de la ropa y las condiciones laborales en el…?;Aprendizaje de capacidades de análisis y pensamiento crítico;APRECAPEN;Estudiantes;G1;;;
ST196Q04HA;¿Cómo de fácil es para ti la realización de esta tarea: discernir sobre las diferentes razones por las que las personas se convierten en refugiados;Aprendizaje de capacidades de análisis y pensamiento crítico;APRECAPEN;Estudiantes;G1;;;
ST196Q05HA;¿Cómo de fácil es para ti la realización de esta tarea: explicar por qué algunos países sufren más por el cambio climático que otros?;Aprendizaje de capacidades de análisis y pensamiento crítico;APRECAPEN;Estudiantes;G1;;;
ST196Q06HA;¿Cómo de fácil es para ti la realización de esta tarea: explicar cómo la crisis económica en países aislados afectan a la economía global?;Aprendizaje de capacidades de análisis y pensamiento crítico;APRECAPEN;Estudiantes;G1;;;
ST196Q07HA;¿Cómo de fácil es para ti la realización de esta tarea: discernir sobre las consecuencias de l desarrollo económico en el medio ambiente?;Aprendizaje de capacidades de análisis y pensamiento crítico;APRECAPEN;Estudiantes;G1;;;
ST197Q01HA;¿Cómo de informado estás sobre los siguientes temas? Cambio climático y calentamiento global;Aprendizaje de capacidades de análisis y pensamiento crítico;APRECAPEN;Estudiantes;G1;;;
ST197Q02HA;¿Cómo de informado estás sobre los siguientes temas? Salud global (por ejemplo, epidemias);Aprendizaje de capacidades de análisis y pensamiento crítico;APRECAPEN;Estudiantes;G1;;;
ST197Q04HA;¿Cómo de informado estás sobre los siguientes temas? Migración (movimientos de personas);Aprendizaje de capacidades de análisis y pensamiento crítico;APRECAPEN;Estudiantes;G1;;;
ST197Q07HA;¿Cómo de informado estás sobre los siguientes temas? Conflictos internacionacionales;Aprendizaje de capacidades de análisis y pensamiento crítico;APRECAPEN;Estudiantes;G1;;;
ST197Q08HA;¿Cómo de informado estás sobre los siguientes temas? Hambre y malnutrición en diferentes partes del mundo;Aprendizaje de capacidades de análisis y pensamiento crítico;APRECAPEN;Estudiantes;G1;;;
ST197Q09HA;¿Cómo de informado estás sobre los siguientes temas? Causas de la pobreza;Aprendizaje de capacidades de análisis y pensamiento crítico;APRECAPEN;Estudiantes;G1;;;
ST197Q12HA;¿Cómo de informado estás sobre los siguientes temas? Igualdad entre hombres y mujeres en las diferentes partes del mundo;Aprendizaje de capacidades de análisis y pensamiento crítico;APRECAPEN;Estudiantes;G1;;;
ST221Q01HA;En el colegio: aprendo sobre la interconexión de las economías de los países.;Aprendizaje de capacidades de análisis y pensamiento crítico;APRECAPEN;Estudiantes;G1;;;
ST221Q02HA;En el colegio: aprendo como resolver conflictos con otras personas en nuestra clase.;Aprendizaje de capacidades de análisis y pensamiento crítico;APRECAPEN;Estudiantes;G1;;;
ST221Q03HA;En el colegio: aprendo sobre diferentes culturas.;Aprendizaje de capacidades de análisis y pensamiento crítico;APRECAPEN;Estudiantes;G1;;;
ST221Q04HA;En el colegio: leemos periódicos, mirar noticias en Internet o ver notivias juntos durante las clases. ;Aprendizaje de capacidades de análisis y pensamiento crítico;APRECAPEN;Estudiantes;G1;;;
ST221Q05HA;En el colegio: habitualmente  mis profesores me invitan a dar mis opiniones personales sobre las noticias internacionales.;Aprendizaje de capacidades de análisis y pensamiento crítico;APRECAPEN;Estudiantes;G1;;;
ST221Q06HA;En el colegio: participo en eventos celebrados por la diversidad cultural durante el curso escolar.;Aprendizaje de capacidades de análisis y pensamiento crítico;APRECAPEN;Estudiantes;G1;;;
ST221Q07HA;En el colegio: participo en discusiones en el aula sobre eventos mundiales como parte de la instrucción regular.;Aprendizaje de capacidades de análisis y pensamiento crítico;APRECAPEN;Estudiantes;G1;;;
ST221Q08HA;En el colegio: analizo asuntos globales junto a mis compañeros en pequeños grupos durante la clase.;Aprendizaje de capacidades de análisis y pensamiento crítico;APRECAPEN;Estudiantes;G1;;;
ST221Q09HA;En el colegio: aprendo como la gente de diferentes culturas puede tener diferentes perspectivas sobre algunos temas. ;Aprendizaje de capacidades de análisis y pensamiento crítico;APRECAPEN;Estudiantes;G1;;;
ST221Q11HA;En el colegio: aprendo cómo comuncarme con personas con diferentes bagajes. ;Aprendizaje de capacidades de análisis y pensamiento crítico;APRECAPEN;Estudiantes;G1;;;
EC154Q01IA;¿Has ido recientemente a clases de refuerzo? (para mejorar) en lengua;Asistencia a programas de refuerzo escolar;ASIREES;Estudiantes;G1;;;
EC154Q02IA;¿Has ido recientemente a clases de refuerzo? (para mejorar) en matemáticas;Asistencia a programas de refuerzo escolar;ASIREES;Estudiantes;G1;;;
EC154Q03IA;¿Has ido recientemente a clases de refuerzo? (para mejorar) en ciencias;Asistencia a programas de refuerzo escolar;ASIREES;Estudiantes;G1;;;
EC154Q04HA;¿Has ido recientemente a clases de refuerzo? (para mejorar) en idioma extranjero;Asistencia a programas de refuerzo escolar;ASIREES;Estudiantes;G1;;;
EC154Q05IA;¿Has ido recientemente a clases de refuerzo? (para aprobar) en lengua;Asistencia a programas de refuerzo escolar;ASIREES;Estudiantes;G1;;;
EC154Q06IA;¿Has ido recientemente a clases de refuerzo? (para aprobar) en matemáticas;Asistencia a programas de refuerzo escolar;ASIREES;Estudiantes;G1;;;
EC154Q07IA;¿Has ido recientemente a clases de refuerzo? (para aprobar) ern ciencias;Asistencia a programas de refuerzo escolar;ASIREES;Estudiantes;G1;;;
EC154Q08HA;¿Has ido recientemente a clases de refuerzo? (para aprobar) en idioma extranjero;Asistencia a programas de refuerzo escolar;ASIREES;Estudiantes;G1;;;
EC154Q09IA;¿Has ido recientemente a clases de refuerzo? Clases para mejorar tus (capacidades de estudio);Asistencia a programas de refuerzo escolar;ASIREES;Estudiantes;G1;;;
EC152Q01HA;¿Qué crees que estarás haciendo dentro de 5 años?;Autopercepción sobre su propio futuro;AUTPROFU;Estudiantes;G1;;;
FL168Q02HA;En los últimos 12 meses: hablar con alguien sobre el trabajo que te gustaría tener cuando termines tu educación;Autopercepción sobre su propio futuro;AUTPROFU;Estudiantes;G1;;;
ST177Q01HA;¿Cuántos idiomas… tú y tus padres habláis los suficientemente bien como para conversar con otros? Tú;Bagaje cultural;BAGACUL;Estudiantes;G1;;;
ST177Q02HA;¿Cuántos idiomas… tú y tus padres habláis los suficientemente bien como para conversar con otros? Tu madre;Bagaje cultural;BAGACUL;Estudiantes;G1;;;
ST177Q03HA;¿Cuántos idiomas… tú y tus padres habláis los suficientemente bien como para conversar con otros? Tu padre;Bagaje cultural;BAGACUL;Estudiantes;G1;;;
EC031Q01TA;¿Has cambiado de colegio durante la Educación Primaria (ISCED 1)?;Cambios en la escolarización;CAMESCO;Estudiantes;G1;;;
EC032Q01TA;¿Has cambiado de colegio durante la Educación Secundaria (ISCED 2)?;Cambios en la escolarización;CAMESCO;Estudiantes;G1;;;
EC033Q01NA;¿Alguna vez has cambiado tu programa de estudios?;Cambios en la escolarización;CAMESCO;Estudiantes;G1;;;
ST216Q01HA;¿Cómo de bien te describen la siguiente frase: puedo enfrentarme con situaciones inusuales?;Capacidad de adaptación;CAPAADAP;Estudiantes;G1;;;
ST216Q02HA;¿Cómo de bien te describen la siguiente frase: puedo cambiar mi comportamiento al conocer las necesidades de las nuevas situaciones?;Capacidad de adaptación;CAPAADAP;Estudiantes;G1;;;
ST216Q03HA;¿Cómo de bien te describen la siguiente frase: me adapto a las diferentes situaciones incluso bajo estrés o presión?;Capacidad de adaptación;CAPAADAP;Estudiantes;G1;;;
ST216Q04HA;¿Cómo de bien te describen la siguiente frase: me puedo adaptar con facilidad a una nueva cultura?;Capacidad de adaptación;CAPAADAP;Estudiantes;G1;;;
ST216Q05HA;¿Cómo de bien te describen la siguiente frase: Cuando me enfrento a situaciones difíciles con otras personas, puedo pensar en…?;Capacidad de adaptación;CAPAADAP;Estudiantes;G1;;;
ST216Q06HA;¿Cómo de bien te describen la siguiente frase: soy capaz de superar mis dificultades de interaccionar con gente…?;Capacidad de adaptación;CAPAADAP;Estudiantes;G1;;;
EC151Q01WA;Capacidades adquiridas: cómo encontrar información sobre trabajos que me interesan. Sí, en el colegio;Capacidades dirigidas a la orientación educativa y profesional;CAPADI;Estudiantes;G1;;;
EC151Q01WB;Capacidades adquiridas: cómo encontrar información sobre trabajos que me interesan. Sí, fuera del colegio;Capacidades dirigidas a la orientación educativa y profesional;CAPADI;Estudiantes;G1;;;
EC151Q01WC;Capacidades adquiridas: cómo encontrar información sobre trabajos que me interesan. No, nunca;Capacidades dirigidas a la orientación educativa y profesional;CAPADI;Estudiantes;G1;;;
EC151Q02WA;Capacidades adquiridas: cómo buscar trabajo. Sí, en el colegio;Capacidades dirigidas a la orientación educativa y profesional;CAPADI;Estudiantes;G1;;;
EC151Q02WB;Capacidades adquiridas: cómo buscar trabajo. Sí, fuera del colegio;Capacidades dirigidas a la orientación educativa y profesional;CAPADI;Estudiantes;G1;;;
EC151Q02WC;Capacidades adquiridas: cómo buscar trabajo. No, nunca;Capacidades dirigidas a la orientación educativa y profesional;CAPADI;Estudiantes;G1;;;
EC151Q03WA;Capacidades adquiridas: cómo escribir un resumen de mis calificaciones. Sí, en el colegio;Capacidades dirigidas a la orientación educativa y profesional;CAPADI;Estudiantes;G1;;;
EC151Q03WB;Capacidades adquiridas: cómo escribir un resumen de mis calificaciones. Sí, fuera del colegio;Capacidades dirigidas a la orientación educativa y profesional;CAPADI;Estudiantes;G1;;;
EC151Q03WC;Capacidades adquiridas: cómo escribir un resumen de mis calificaciones. No, nunca;Capacidades dirigidas a la orientación educativa y profesional;CAPADI;Estudiantes;G1;;;
EC151Q04WA;Capacidades adquiridas: cómo preparar una entrevista de trabajo. Sí, en el colegio;Capacidades dirigidas a la orientación educativa y profesional;CAPADI;Estudiantes;G1;;;
EC151Q04WB;Capacidades adquiridas: cómo preparar una entrevista de trabajo. Sí, fuera del colegio;Capacidades dirigidas a la orientación educativa y profesional;CAPADI;Estudiantes;G1;;;
EC151Q04WC;Capacidades adquiridas: cómo preparar una entrevista de trabajo. No, nunca;Capacidades dirigidas a la orientación educativa y profesional;CAPADI;Estudiantes;G1;;;
EC151Q05WA;Capacidades adquiridas: cómo encontrar información sobre financiación para estudios (por ejemplos, préstamos estudiantiles o becas). Sí, en el colegio;Capacidades dirigidas a la orientación educativa y profesional;CAPADI;Estudiantes;G1;;;
EC151Q05WB;Capacidades adquiridas: cómo encontrar información sobre financiación para estudios (por ejemplos, préstamos estudiantiles o becas). Sí, fuera del colegio;Capacidades dirigidas a la orientación educativa y profesional;CAPADI;Estudiantes;G1;;;
EC151Q05WC;Capacidades adquiridas: cómo encontrar información sobre financiación para estudios (por ejemplos, préstamos estudiantiles o becas). No, nunca;Capacidades dirigidas a la orientación educativa y profesional;CAPADI;Estudiantes;G1;;;
ST215Q01HA;¿Cómo de bien te describen la siguiente frase: intento mirar todos los puntos de vista de las personas ante un desacuerdo antes de tomar una decisión?;Capacidad de empatía;CAPAEMP;Estudiantes;G1;;;
ST215Q02HA;¿Cómo de bien te describen la siguiente frase: creo que hay dos lados en cualquier cuestión e intento mirar hacia…?;Capacidad de empatía;CAPAEMP;Estudiantes;G1;;;
ST215Q03HA;¿Cómo de bien te describen la siguiente frase: a veces intento entender a mis amigos mejor imaginándome cómo las cosas…?;Capacidad de empatía;CAPAEMP;Estudiantes;G1;;;
ST215Q04HA;¿Cómo de bien te describen la siguiente frase: antes de criticar a una persona, intento imaginar como me sentiría si yo fuera…?;Capacidad de empatía;CAPAEMP;Estudiantes;G1;;;
ST215Q05HA;¿Cómo de bien te describen la siguiente frase: cuando estoy molesto/a con alguien, trato de ponerme en la perspectiva de esa persona…?;Capacidad de empatía;CAPAEMP;Estudiantes;G1;;;
ST205Q02HA;Piensa en tu colegio, ¿cómo de verdad: parece que los estudiantes compiten entre ellos?;Compentitividad entre el alumnado;COMPENAL;Estudiantes;G1;;;
ST205Q03HA;Piensa en tu colegio, ¿cómo de verdad: los estudiantes parece que compartir el sentimiento de la importancia de competir entre ellos?;Compentitividad entre el alumnado;COMPENAL;Estudiantes;G1;;;
ST205Q04HA;Piensa en tu colegio, ¿cómo de verdad: los estudiantes sienten que ellos están siendo comparados entre ellos?;Compentitividad entre el alumnado;COMPENAL;Estudiantes;G1;;;
ST205Q01HA;Piensa en tu colegio, ¿cómo de verdad: los estudiantes valoran la competitividad?;Compentitividad entre el alumnado;COMPENAL;Estudiantes;G1;;;
ST176Q07IA;¿Con qué frecuencia buscas información práctica on-line (por ejemplo, calendarios, eventos, trucos, recetas)?;Comprensión lectora;COMPLECT;Estudiantes;G1;;;
ST161Q01HA;De acuerdo: soy un buen lector;Comprensión lectora;COMPLECT;Estudiantes;G1;;;
ST161Q02HA;De acuerdo: soy capaz de entender textos difíciles;Comprensión lectora;COMPLECT;Estudiantes;G1;;;
ST161Q03HA;De acuerdo: leo fluidamente;Comprensión lectora;COMPLECT;Estudiantes;G1;;;
ST161Q06HA;De acuerdo: siempre he tenido dificultades para leer;Comprensión lectora;COMPLECT;Estudiantes;G1;;;
ST161Q07HA;De acuerdo: tengo que leer un texto varias veces antes de entenderlo correctamente;Comprensión lectora;COMPLECT;Estudiantes;G1;;;
ST161Q08HA;De acuerdo: encuentro dificultades al contestar preguntas sobre un texto;Comprensión lectora;COMPLECT;Estudiantes;G1;;;
ST163Q02HA;"En el cuestionario de PISA; ¿cómo te sientes con las tareas de comprensión lectora?: Hay muchas palabras que no pude entender";Comprensión lectora;COMPLECT;Estudiantes;G1;;;
ST163Q03HA;"En el cuestionario de PISA; ¿cómo te sientes con las tareas de comprensión lectora?: Bastantes textos eran demasiado difíciles para mí";Comprensión lectora;COMPLECT;Estudiantes;G1;;;
ST163Q04HA;"En el cuestionario de PISA; ¿cómo te sientes con las tareas de comprensión lectora?: Estaba perdido cuando tenía que trabajar entre dos páginas diferentes";Comprensión lectora;COMPLECT;Estudiantes;G1;;;
ST164Q01IA;Utilidad para el entendimiento y memorización de textos: me concentro en las partes del texto que son fáciles de entender;Comprensión lectora;COMPLECT;Estudiantes;G1;;;
ST164Q02IA;Utilidad para el entendimiento y memorización de textos: rapidamente leo el texto dos veces;Comprensión lectora;COMPLECT;Estudiantes;G1;;;
ST164Q03IA;Utilidad para el entendimiento y memorización de textos: después de leer el texto, discuto su contenido con otras personas;Comprensión lectora;COMPLECT;Estudiantes;G1;;;
ST164Q04IA;Utilidad para el entendimiento y memorización de textos: subrayo las partes importantes del texto;Comprensión lectora;COMPLECT;Estudiantes;G1;;;
ST164Q05IA;Utilidad para el entendimiento y memorización de textos: resumo el texto en mis propias palabras;Comprensión lectora;COMPLECT;Estudiantes;G1;;;
ST164Q06IA;Utilidad para el entendimiento y memorización de textos: leo el texto en alto a otra persona;Comprensión lectora;COMPLECT;Estudiantes;G1;;;
ST219Q03HA;De acuerdo: creo que mi comportamiento puede impactar en las personas de otros países;Conciencia del impacto en el mundo;CONCIIM;Estudiantes;G1;;;
ST219Q04HA;De acuerdo: es un derecho boicotear empresas que se sabe que favorecen condiciones de pobreza a sus trabajadores;Conciencia del impacto en el mundo;CONCIIM;Estudiantes;G1;;;
ST219Q05HA;De acuerdo: puedo hacer cosas para solucionar los problemas del mundo;Conciencia del impacto en el mundo;CONCIIM;Estudiantes;G1;;;
ST219Q06HA;De acuerdo: cuidar el medio ambiente a nivel global es importante para mi;Conciencia del impacto en el mundo;CONCIIM;Estudiantes;G1;;;
ST204Q02HA;De acuerdo: los niños inmigrantes deberían de tener las mismas oportunidades educativas que cualquier otro niño en los páises que sí que los tienen;Conciencia del impacto en el mundo;CONCIIM;Estudiantes;G1;;;
ST204Q03HA;De acuerdo: los inmigrantes que viven en un país durante variors años deberían tener  la oportunidad de votar en las elecciones;Conciencia del impacto en el mundo;CONCIIM;Estudiantes;G1;;;
ST204Q04HA;De acuerdo: los inmigrantes deberían tener la oportunidad de continuar con sus costumbres y su estilo de vida;Conciencia del impacto en el mundo;CONCIIM;Estudiantes;G1;;;
ST204Q05HA;De acuerdo: los inmigrantes deberían tener los mismos derechos que cualquier otra persona en ese país;Conciencia del impacto en el mundo;CONCIIM;Estudiantes;G1;;;
ST206Q01HA;Piensa en tu colegio, ¿cómo de verdad: los estudiantes valoran la cooperación?;Cooperación entre el alumnado;COOALUM;Estudiantes;G1;;;
ST206Q02HA;Piensa en tu colegio, ¿cómo de verdad: parece que los estudiantes cooperan entre ellos?;Cooperación entre el alumnado;COOALUM;Estudiantes;G1;;;
ST206Q03HA;Piensa en tu colegio, ¿cómo de verdad: los estudiantes parece que compartir el sentimiento de la importancia de cooperar entre ellos?;Cooperación entre el alumnado;COOALUM;Estudiantes;G1;;;
ST206Q04HA;Piensa en tu colegio, ¿cómo de verdad: los estudiantes sienten que ellos están siendo animados a cooperar entre ellos?;Cooperación entre el alumnado;COOALUM;Estudiantes;G1;;;
MISCED;Nivel educativo de la madre (ISCED);Educación de la familia;EDUFAM;Estudiantes;G1;;;
